city,total,has_children,children_born,children_borned_live,children_borned_dead
mario campos,4066,2538,9308,9105,203
maripa de minas,1075,696,2418,2367,50
marlieria,1626,1011,4845,4716,129
marmelopolis,1288,739,3452,3210,242
martinho campos,4709,2969,11892,11455,438
martins soares,2151,1329,5650,5273,377
mata verde,2594,1686,8131,7692,440
materlandia,1863,1114,5779,5317,462
mateus leme,9811,5795,22671,21163,1508
mathias lobato,1421,839,3653,3470,184
matias barbosa,5099,3171,10522,10077,445
matias cardoso,3001,1711,9068,8241,827
matipo,6388,3853,16568,16009,559
mato verde,5362,3314,14219,13526,693
matozinhos,12301,7331,27086,25772,1314
matutina,1592,1030,4096,3847,249
medeiros,1158,747,2423,2312,110
medina,8511,4956,25048,23364,1684
mendes pimentel,2627,1645,7738,7320,417
merces,4109,2416,10205,9709,496
mesquita,2734,1556,7364,7058,307
minas novas,11540,6275,32346,30306,2040
minduri,1584,986,4049,3882,167
mirabela,4773,2830,13440,12740,700
miradouro,3891,2415,9980,9448,532
mirai,5154,3166,12625,12003,622
miravania,1669,819,4440,4288,153
moeda,1866,1099,4566,4309,256
moema,2633,1660,6166,5791,375
monjolos,939,557,2665,2532,134
monsenhor paulo,3027,1869,7491,7099,392
montalvania,6178,3202,17357,16583,774
monte alegre de minas,7211,5024,17104,15949,1155
monte azul,9846,5765,29848,27381,2467
monte belo,5088,3230,12595,11761,835
monte carmelo,17548,11573,37871,36291,1580
monte formoso,1575,951,5068,4762,306
monte santo de minas,8581,5523,19496,18476,1020
monte siao,7478,4412,13586,12963,622
montes claros,129224,73811,276550,262368,14183
montezuma,2488,1462,7489,7120,369
morada nova de minas,2960,2005,8383,7626,757
morro da garca,1127,647,2882,2852,30
morro do pilar,1538,880,4065,3877,188
munhoz,2532,1579,6066,5773,293
muriae,39797,24093,84798,79943,4855
mutum,10860,6667,28814,27188,1626
muzambinho,8485,5349,18422,17656,766
nacip raydan,1214,742,3921,3670,251
nanuque,17429,10752,45773,42646,3127
naque,2191,1364,6070,5851,219
natalandia,1179,731,3558,3372,186
natercia,1879,1117,4123,3844,279
nazareno,2899,1830,7091,6824,268
nepomuceno,10171,6080,23332,21976,1356
ninheira,3520,2011,10469,9706,763
nova belem,1632,1054,4487,4135,352
nova era,7553,4252,17204,16058,1146
nova lima,27553,16358,54088,50768,3320
nova modica,1605,997,5004,4789,215
nova ponte,3728,2478,7798,7455,343
nova porteirinha,2736,1639,7694,7096,598
nova resende,5544,3423,13752,13068,684
nova serrana,14774,8570,28005,26735,1270
nova uniao,2169,1261,5782,5604,178
novo cruzeiro,11544,6620,36535,34447,2088
novo oriente de minas,3853,2155,11887,11120,768
novorizonte,1795,1106,5627,5308,318
olaria,857,563,2822,2616,206
olhos-d'agua,1543,907,4298,4054,244
olimpio noronha,869,575,2364,2196,167
oliveira,15765,9666,37003,34754,2249
oliveira fortes,882,573,2205,2041,164
onca de pitangui,1139,697,3068,2922,145
oratorios,1810,1079,5140,4901,239
orizania,2457,1589,7149,6612,537
ouro branco,12469,7229,25506,24535,971
ouro fino,12271,7675,26785,25300,1485
ouro preto,27850,15872,58583,55897,2686
ouro verde de minas,2472,1492,8540,8076,464
padre carvalho,1954,1075,5607,5275,331
padre paraiso,6813,4076,21079,19732,1348
pai pedro,2135,1237,6512,6157,355
paineiras,2002,1309,5062,4893,168
pains,3247,1956,7588,7237,351
paiva,645,390,1591,1533,58
palma,2790,1750,6798,6536,262
palmopolis,3448,1815,9672,8830,842
papagaios,4709,2837,10961,10428,533
para de minas,30554,17634,63056,59520,3535
paracatu,28869,17815,66976,63197,3779
paraguacu,7737,4698,17116,16348,769
paraisopolis,7177,4399,17130,16077,1053
paraopeba,8242,4995,17350,16593,757
passa quatro,6115,3637,13894,13291,603
passa tempo,3540,2130,7952,7469,483
passabem,792,454,2445,2403,42
passa-vinte,833,538,2272,2153,119
passos,40659,25331,85331,81624,3707
patis,1851,1077,6256,5842,414
patos de minas,52515,31754,107654,102405,5249
patrocinio,29573,18477,64319,61013,3306
patrocinio do muriae,2051,1287,4692,4464,228
paula candido,3534,2165,9717,9418,299
paulistas,2096,1163,6791,6352,439
pavao,3547,2104,10356,9748,608
pecanha,6770,3917,20458,19481,977
pedra azul,9362,5571,24853,23647,1207
pedra bonita,2629,1317,7169,6734,435
pedra do anta,1566,994,4817,4535,282
pedra do indaia,1549,926,3674,3447,227
pedra dourada,683,427,1820,1710,109
pedralva,4617,2792,11100,10597,503
pedras de maria da cruz,3185,1886,9772,9478,294
pedrinopolis,1358,906,2923,2865,58
pedro leopoldo,22605,13651,46973,44707,2266
pedro teixeira,686,409,1299,1267,33
pequeri,1262,751,2637,2489,148
pequi,1484,893,3731,3385,345
perdigao,2298,1261,4479,4260,220
perdizes,4660,3005,10506,9912,594
perdoes,7837,4872,17700,16863,836
periquito,2938,1743,9008,8364,644
pescador,1600,961,5217,4868,349
piau,1170,733,2953,2780,173
piedade de caratinga,2050,1292,5747,5425,322
piedade de ponte nova,1644,971,4916,4436,480
piedade do rio grande,2059,1256,5353,5137,215
piedade dos gerais,1704,1014,4134,3930,205
pimenta,3109,1989,7322,7006,316
pingo-d'agua,1507,919,4490,4302,188
pintopolis,2439,1354,7901,7575,326
piracema,2677,1612,6751,6296,455
pirajuba,1141,739,2549,2394,154
piranga,6699,3817,19226,18176,1051
pirangucu,1925,1182,5021,4724,297
piranguinho,2907,1823,7693,7241,453
pirapetinga,4098,2605,9436,8958,479
pirapora,20694,12301,48481,45879,2602
pirauba,4609,2724,10525,9881,644
pitangui,9187,5504,20802,19694,1109
piumhi,12186,7599,26191,24819,1372
planura,3326,2163,7026,6623,403
poco fundo,6164,3851,13124,12356,768
pocos de caldas,58824,37239,112013,106320,5693
pocrane,4064,2623,12084,11394,690
pompeu,10241,6486,24003,22695,1308
ponte nova,24152,14334,53974,51060,2914
ponto chique,1331,788,4167,3834,333
ponto dos volantes,3943,2310,11950,11249,700
porteirinha,15257,8741,40707,38254,2453
porto firme,3850,2175,10480,10020,460
pote,5940,3636,19150,17805,1345
pouso alegre,44854,27243,87610,83097,4513
pouso alto,2767,1664,6087,5828,259
prados,3171,1836,7576,7218,358
prata,9501,6368,21802,20475,1326
pratapolis,3786,2584,9334,8945,389
pratinha,1197,753,2363,2242,121
presidente bernardes,2275,1363,6915,6527,388
presidente juscelino,1755,961,4522,4369,154
presidente kubitschek,1152,636,3616,3441,175
presidente olegario,6976,4492,18246,17474,771
prudente de morais,3319,1939,7756,7447,309
quartel geral,1256,784,3011,2779,232
queluzito,729,416,1479,1388,91
raposos,6029,3549,13543,12706,837
raul soares,10197,6131,28742,27308,1434
recreio,4431,2824,10905,10240,665
reduto,2225,1401,5764,5574,191
resende costa,4301,2468,9577,9174,403
resplendor,7233,4772,17493,16677,815
ressaquinha,1859,1103,4426,4235,191
riachinho,2898,1734,8509,8002,507
riacho dos machados,3487,2007,10261,9655,605
ribeirao das neves,97198,59214,207969,196274,11696
ribeirao vermelho,1598,1024,3575,3269,305
rio acima,3165,1894,7290,6993,297
rio casca,6411,3649,16269,15272,997
rio do prado,2070,1266,6756,6390,366
rio doce,983,614,2644,2505,139
rio espera,2784,1614,7332,7151,181
rio manso,1846,1002,4012,3788,224
rio novo,3487,2212,8011,7632,379
rio paranaiba,4641,2874,9435,8985,450
rio pardo de minas,10134,5845,27893,26198,1695
rio piracicaba,5923,3388,14134,13454,680
rio pomba,6900,4156,15964,15232,732
rio preto,2098,1253,5237,4801,436
rio vermelho,5624,3242,17002,16122,880
ritapolis,2220,1436,5685,5306,379
rochedo de minas,754,489,1954,1833,121
rodeiro,2154,1362,5136,4852,283
romaria,1395,996,3754,3592,163
rosario da limeira,1469,935,3965,3685,281
rubelita,3969,2124,10996,10470,526
rubim,3831,2478,12333,11621,712
sabara,47784,28680,102027,95811,6216
sabinopolis,6436,3852,18306,17394,912
sacramento,8729,5346,18338,17369,969
salinas,15130,8809,41769,39925,1844
salto da divisa,2620,1590,8012,7720,292
santa barbara,9953,5648,23171,22091,1081
santa barbara do leste,2717,1693,7782,7417,365
santa barbara do monte verde,903,545,2121,2018,103
santa barbara do tugurio,1882,1132,5273,4998,275
santa cruz de minas,2867,1917,6550,6187,363
santa cruz de salinas,1861,1106,5891,5649,241
santa cruz do escalvado,2201,1343,6497,6065,432
santa efigenia de minas,1925,1086,6038,5746,292
santa fe de minas,1461,909,4870,4587,283
santa helena de minas,2116,1261,6890,6596,294
santa juliana,3245,2191,7162,6780,382
santa luzia,75552,45673,156849,148633,8215
santa margarida,5291,3148,13655,13050,605
santa maria de itabira,4073,2303,10884,10268,616
santa maria do salto,2067,1278,6604,6146,459
santa maria do suacui,5668,3263,16661,15572,1089
santa rita de caldas,3950,2507,8940,8458,482
santa rita de ibitipoca,1519,934,3872,3661,212
santa rita de jacutinga,2118,1352,5064,4836,228
santa rita de minas,2299,1451,5780,5666,114
santa rita do itueto,2385,1470,6136,5765,371
santa rita do sapucai,12922,7893,27962,26632,1330
santa rosa da serra,1204,797,2902,2793,109
santa vitoria,6542,4524,16033,15225,808
santana da vargem,2868,1753,6854,6290,564
santana de cataguases,1335,958,3642,3573,69
santana de pirapama,3316,1894,9831,9442,389
santana do deserto,1491,873,3698,3491,207
