city,total
tiros,3188
tocantins,6387
tocos do moji,1898
toledo,2312
tombos,4602
tres coracoes,25927
tres marias,9006
tres pontas,20491
tumiritinga,2258
tupaciguara,9692
turmalina,5181
turvolandia,1870
uba,36194
ubai,3609
ubaporanga,4738
uberaba,102950
uberlandia,208909
umburatiba,1082
unai,27804
uniao de minas,2133
uruana de minas,1265
urucania,3708
urucuia,3094
vargem alegre,2548
vargem bonita,985
vargem grande do rio pardo,1579
varginha,44669
varjao de minas,2037
varzea da palma,11418
varzelandia,6203
vazante,7754
verdelandia,2324
veredinha,1702
verissimo,1479
vermelho novo,1927
vespasiano,27999
vicosa,25302
vieiras,1659
virgem da lapa,4392
virginia,3388
virginopolis,3899
virgolandia,2090
visconde do rio branco,13399
volta grande,1962
wenceslau braz,1089
