city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
itaju,8.33,8.39,25.44,0.73,3.07,0.0
itaoca,24.76,15.38,33.81,7.29,14.76,0.0
itapirapua paulista,24.38,10.89,42.99,9.37,11.52,2.78
itapura,16.12,8.38,6.78,9.22,1.4,0.28
jeriquara,20.41,8.84,2.07,0.0,1.29,0.0
joao ramalho,14.12,14.36,17.18,9.76,1.88,1.08
julio mesquita,23.91,10.09,5.2,3.79,0.62,0.0
jumirim,17.77,8.92,7.11,2.35,1.52,0.47
lagoinha,13.63,4.53,33.27,5.83,4.21,1.29
lourdes,11.79,8.82,21.03,4.41,5.13,0.74
lucianopolis,7.83,7.65,5.53,7.65,0,0.0
lupercio,23.78,7.73,4.48,2.93,1.95,0.0
lutecia,9.71,4.41,20.86,13.24,2.16,0.0
macedonia,12.42,4.11,13.38,15.98,1.27,0.91
magda,11.29,7.39,2.02,14.78,0,0.0
maraba paulista,16.8,8.13,44.53,32.86,8.27,2.83
marapoama,14.88,1.27,15.81,11.39,0.93,0.0
mariapolis,16.72,7.22,4.02,8.93,1.55,0.0
marinopolis,16.51,3.13,16.04,13.28,1.89,1.56
mendonca,8.82,2.74,18.3,4.45,1.63,0.68
meridiano,11.38,4.78,19.24,7.57,2.17,1.2
mesopolis,17.86,13.1,26.53,13.1,3.57,3.45
mira estrela,10.96,8.52,15.53,6.25,0,0.57
mirassolandia,10.2,3.8,13.03,0.0,1.7,0.0
mombuca,25.14,10.42,21.31,4.17,7.38,1.39
moncoes,6.12,4.29,17.69,15.71,0.68,0.71
monte castelo,17.86,5.31,21.43,15.51,2.08,1.22
monteiro lobato,24.87,11.28,18.72,3.05,4.28,0.91
motuca,17.62,7.2,1.55,10.53,0,0.28
murutinga do sul,11.45,3.36,28.61,26.47,5.12,2.52
nantes,17.83,11.81,20.54,2.11,2.71,0.0
narandiba,19.3,9.76,25.31,18.7,7.27,2.98
nipoa,19,8.86,11.11,2.77,1.79,0.83
nova canaa paulista,15.94,2.63,49.76,25.44,9.18,1.75
nova castilho,10.87,3.49,39.13,29.07,1.09,0.0
nova guataporanga,17.42,5.56,13.48,10.42,2.25,0.0
