city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
assis,6.52,4.11,1.3,1.04,4.39,2.5,23.21,13.44
avare,7.06,4.81,1.98,1.24,5.57,3.42,23.35,14.87
batatais,7.46,4.98,1.73,1.05,5.65,3.71,24.1,14.33
bebedouro,7.63,4.86,1.56,1.21,5.69,2.92,26.59,16.01
cacapava,6.12,4.16,1.49,0.85,4.81,2.74,24.66,15.07
caieiras,6.1,3.93,1.55,0.81,5.61,3.06,26.15,16.36
cajamar,8.75,5.2,2.56,1.26,8.39,4.36,35.93,22.16
campo limpo paulista,6.81,4.22,1.52,0.75,6.16,3.1,27.07,16.86
cosmopolis,7.05,4.83,1.66,1.12,5.79,3.65,27.55,18.19
cruzeiro,4.77,2.86,1.32,1.01,3.47,1.72,17.99,9.89
embu-guacu,9.3,6.07,1.66,1.1,8.56,4.42,36.48,23.16
fernandopolis,9.21,6.0,1.14,0.79,5.64,2.9,35.4,20.89
ibitinga,8.35,5.51,2.16,1.19,5.97,4.03,28.85,17.34
ibiuna,13.82,8.7,4.08,1.94,13.38,6.88,40.81,26.82
itanhaem,8.19,5.85,2.3,1.25,8.57,4.97,18.06,13.39
itapeva,9.52,6.22,2.43,1.11,7.89,4.38,35.21,23.2
itapira,9.78,5.78,2,1.06,7.29,3.62,31.41,18.9
jaboticabal,7.4,4.92,1.93,1.04,6.1,3.63,22.42,14.4
leme,9.86,7.24,4.11,1.81,9.09,6.66,26.99,18.87
lencois paulista,8.07,5.11,1.39,0.78,6.56,3.21,31.32,20.77
lins,7.52,5.04,1.31,1.43,5.03,2.84,25.82,16.84
lorena,5.87,3.68,1.9,1.33,4.25,2.37,21.68,11.95
mairipora,9.3,5.01,2.44,1.0,8.98,3.91,29.26,17.6
matao,8.52,5.74,1.46,0.99,6.22,3.44,36.6,22.96
mirassol,7.65,4.53,1.13,0.68,4.67,2.33,30.93,17.39
mococa,8.6,5.83,1.53,1.41,6.71,3.71,29.69,18.7
moji mirim,6.71,4.41,1.8,1.02,5.33,3.04,22.26,13.99
nova odessa,5.59,3.61,0.99,0.8,3.95,1.94,25.14,15.92
olimpia,8.63,5.58,2.09,1.39,6.22,3.73,27.82,16.42
paulinia,6.07,3.47,1.18,0.75,4.83,2.27,29.87,16.49
penapolis,7.52,5.46,1.41,1.17,5.2,3.3,26.03,17.08
peruibe,8.62,6.05,2.64,1.56,8.45,5.06,19.63,13.64
piedade,11.86,8.62,3.28,1.44,10.28,6.55,37.04,26.07
pirassununga,6.05,4.04,1.65,1.0,4.58,2.94,19.07,11.23
porto ferreira,7.66,5.25,1.98,1.36,6.31,4.03,24.5,15.1
registro,8.6,5.58,2.31,1.01,7.11,3.76,30.94,18.89
santa isabel,10.77,7.49,1.81,1.04,9.42,5.3,40.66,27.63
sao joao da boa vista,6.44,3.84,1.72,0.8,4.48,2.33,21.3,12.26
sao jose do rio pardo,7.18,4.79,1.72,1.14,5.05,2.86,24.54,15.66
sao roque,7.11,4.48,1.74,1.02,6.48,3.21,20.8,13.97
sao sebastiao,8.84,5.85,3.17,1.25,9.54,5.57,23.37,17.4
taquaritinga,9.89,7.21,2.64,1.4,8.29,5.54,29.37,20.05
tupa,9.38,7.1,2.34,1.97,5.73,3.97,30.93,20.48
ubatuba,8.77,5.82,2.58,1.28,8.52,4.87,29.76,18.63
vinhedo,5.92,3.37,1.49,0.69,4.55,2.31,23.03,12.03
votuporanga,8.19,5.19,1.37,0.97,4.8,2.61,33.07,18.81
de 100.001 a 500.000 ,6.3,4.04,1.62,0.97,5.41,2.92,22.04,13.99
americana,4.38,2.75,0.78,0.59,2.54,1.46,19.6,10.83
aracatuba,6.31,3.85,1.33,0.88,3.99,2.13,24.39,13.42
araraquara,5.2,3.62,1.21,0.83,3.77,2.41,17.59,11.32
araras,7.01,4.74,2.38,1.15,5.64,3.67,22.44,14.02
atibaia,8,4.92,2.49,1.22,7.49,3.91,21.67,13.62
barretos,6.4,4.21,1.71,1.16,4.68,2.87,20.9,12.78
barueri,6.64,4.04,1.83,0.93,6.46,3.27,31.24,17.47
bauru,5.24,3.09,1.36,0.84,3.85,1.9,18.54,10.49
birigui,7.19,4.5,1.13,0.68,4.65,2.28,31.8,18.6
botucatu,5.61,4.11,1.2,0.99,4.28,2.92,18.39,12.39
braganca paulista,7.79,4.39,2.2,0.88,6.12,2.92,26.08,14.74
caraguatatuba,8.02,4.72,2.34,1.1,7.92,3.82,22.55,13.96
carapicuiba,6.27,4.36,1.64,1.06,6.08,3.42,28.07,17.49
catanduva,7.6,4.69,1.77,0.9,5.08,2.73,25.56,15.29
cotia,7.05,4.47,1.58,1.01,6.71,3.48,29.16,17.91
cubatao,9.06,5.32,2.4,1.12,9.3,4.45,30.6,20.41
diadema,6.8,4.36,1.73,1.01,6.56,3.38,29.75,18.62
embu,7.69,4.95,1.94,1.17,8.04,4.03,35.26,21.67
ferraz de vasconcelos,7.93,4.91,1.73,1.14,7.96,4.05,33.66,21.06
franca,5.63,3.44,1.09,0.75,4.1,2.05,24.04,13.52
francisco morato,10.8,6.94,2.75,1.36,12.05,6.39,40.29,27.94
franco da rocha,9.59,5.85,2.34,1.8,9.78,5.03,35.58,21.12
guaratingueta,4.68,2.91,1.45,0.81,3.39,1.86,17.12,9.7
guaruja,8.45,5.1,2.29,1.26,8.51,4.24,27.01,17.02
hortolandia,7.6,4.63,1.76,0.89,6.71,3.25,36.95,23.1
indaiatuba,6.3,3.38,1.3,0.63,5.1,2.27,24.79,13.47
itapecerica da serra,8.86,5.62,2.33,1.17,9.09,4.58,36.22,24.49
itapetininga,6.89,4.54,2.05,1.17,5.41,3.16,24.13,15.78
itapevi,8.78,5.38,2.6,1.17,9.08,4.73,35.69,22.65
itaquaquecetuba,9.19,5.66,2.52,1.38,9.68,4.94,38.48,24.47
itatiba,6.64,3.87,1.55,0.83,5.35,2.76,23.62,13.58
itu,7.47,4.44,1.93,0.97,6.77,3.45,23.97,14.69
jacarei,6.03,3.79,1.39,0.87,4.86,2.61,24.69,13.55
jandira,6.63,4.44,1.71,0.97,6.43,3.43,34.95,22.64
jau,7.42,4.71,1.69,0.98,5.33,3.1,25.37,15.78
jundiai,5.01,3.08,1.32,0.9,3.73,2.05,17.16,9.68
limeira,6.25,3.99,1.32,1.03,4.86,2.47,24.01,14.94
marilia,6.65,4.06,1.2,0.64,4.39,2.03,26.26,15.64
maua,6.64,3.94,1.69,0.88,6.15,2.93,28.1,16.89
mogi das cruzes,6.5,3.96,1.56,1.0,5.53,2.82,24.3,14.32
mogi guacu,7.12,4.3,1.66,1.01,5.29,2.66,29.54,16.16
ourinhos,7.55,4.98,1.54,1.03,6.05,3.22,25.84,16.42
pindamonhangaba,5.57,3.87,1.5,1.02,4.42,2.65,23.7,14.61
piracicaba,5.05,3.1,1.62,0.95,4.31,2.35,15.27,8.96
