city,total,regular,military_and_gov,irregular,entrepreneur,employers
gravatai,1157.14,1116.86,1964.9,737.73,1241.1,3093.16
guabiju,1815.19,962.1,1459.1,831.31,2130.38,8533.48
guaiba,1142.73,1097.11,1793.91,684.5,1326.87,4740.49
guapore,1204.57,1043.58,2268.98,663.74,1465.5,2457.78
guarani das missoes,909.1,968.83,1005.74,459.54,1047.36,1257.16
harmonia,1046.05,972.21,1370.15,803.7,973.67,4285.22
herval,1590.53,673.29,1165.63,477.81,914.74,26068.04
herveiras,695.11,1183.21,1149.89,596.96,655.71,-
horizontina,1250.29,1389.15,1615.32,607.23,1178.31,2858.98
hulha negra,886.77,873.19,1012.25,507.28,1022.04,1973.16
humaita,938.02,691.66,1311.43,681.85,1074.36,1790.51
ibarama,735.78,963.02,1132.92,483.7,704.79,2980.88
ibiaca,1141.73,954.82,1095.96,544.06,1323.68,1797.71
ibiraiaras,1040.96,975.06,1415.16,618.44,1121.82,2093.99
ibirapuita,934.04,795.95,1033.46,496.07,998.49,3301.63
ibiruba,1380.72,1083.14,1671.89,722,1961.31,2519.7
igrejinha,1055.5,886.97,1662.76,731.78,1143.9,3532.98
ijui,1314.87,1095.63,2022.49,617.17,1434.78,4102.48
ilopolis,891.49,853.45,927.94,744.84,912.35,1313.94
imbe,1126.43,1054.72,1422.47,673.14,1299.48,2316.27
imigrante,1038.54,1073.58,1209.52,961.61,820.81,2858.65
independencia,916.01,920.7,1138.88,493.97,931.83,5236.09
inhacora,716.16,719.96,953.61,444.08,822.46,378.34
ipe,958.16,836.27,1350.18,575.12,1092.76,2373.72
ipiranga do sul,2068.3,934.86,1463.42,542.98,2729.37,10515.3
irai,841.66,844.22,1432.16,773.87,686.15,1954.39
itaara,1135.09,878.85,3011.96,459.52,1212.05,2946.56
itacurubi,1243.16,709.83,1299.72,628.91,1373.1,85000
itapuca,781.48,1164.4,1014.64,536.7,739.39,900
itaqui,1036.58,889.08,1510.01,507.45,1384.04,2456.95
itati,886.22,697.53,1057.88,593.65,675.76,9769.96
itatiba do sul,784.34,1108.47,1478.52,957.35,619.19,3594.55
ivora,775.3,830,1470.98,546.71,672.97,1264.82
ivoti,1290.46,1059.06,2096.1,939.21,1583.98,4679.33
jaboticaba,865.7,904.35,1184.26,581.52,908.9,1338.43
jacuizinho,1393.77,752.67,965.59,510.31,1000.88,37379.69
jacutinga,908.37,780.51,1147.56,734.54,925.27,2374.86
jaguarao,967.44,861.24,1949.95,461.86,831.89,3003.58
jaguari,983.1,874.56,1552.29,589.09,1035.73,2000
jaquirana,720.79,702.37,1722.48,518.04,694.49,1526.68
jari,761.16,1047.21,1352.72,575.31,586.71,3546.38
joia,938.63,833.14,1170.54,533.81,1116.58,4008.22
julio de castilhos,1272.06,831.59,1378.23,535.13,1742.22,8343.02
lagoa bonita do sul,766.81,688.13,965.9,446.06,798.31,2647.49
lagoa dos tres cantos,1085.42,888.66,1169.3,513.04,1311.08,1848.67
lagoa vermelha,1156.83,894.68,1717.51,686.2,1315.75,4474.28
lagoao,613.37,767.4,1040.11,473.86,587.61,1452.26
lajeado,1408.29,1179.21,3354.86,761.34,1702.21,3842.99
lajeado do bugre,660.63,604.24,947.62,358.03,678.81,-
lavras do sul,809.53,724.24,1094.68,435.28,1061.18,3084.13
liberato salzano,711.96,779.33,1199.85,413.44,663.24,2756.87
lindolfo collor,983.36,835.75,1509.69,722.05,986.06,28092.08
linha nova,926.95,845.76,1439.72,880.97,782.88,2205.68
macambara,928.77,786.05,1119.61,475.62,1240.49,4304.86
machadinho,1010.25,903.89,1371.04,447.84,1118.91,2932.93
mampituba,676.86,830.86,1081.82,495.48,662.75,1844.32
manoel viana,922.35,698.53,1192.78,544.79,1122.75,3210.8
maquine,868.12,850.64,1431.21,598.11,705.33,5206.79
