city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
rosana,6585,105,498,4484,279,1219
roseira,2600,92,242,1417,169,680
rubiacea,806,23,63,465,17,238
rubineia,843,27,110,208,266,233
sabino,1510,88,112,528,77,705
sagres,735,9,19,286,42,380
sales,1734,12,121,581,51,968
sales oliveira,3426,109,194,1725,123,1276
salesopolis,4180,210,480,1338,275,1876
salmourao,1502,44,55,717,63,623
saltinho,1712,32,83,1184,61,352
salto,28325,978,1618,19536,1024,5169
salto de pirapora,8939,505,820,4808,550,2256
salto grande,2281,115,192,1243,105,626
sandovalina,851,26,60,481,77,206
santa adelia,4568,122,339,3056,120,930
santa albertina,1319,33,180,294,147,666
santa barbara d'oeste,56114,1525,2986,39082,1471,11050
santa branca,3975,365,472,1938,300,900
santa clara d'oeste,514,9,73,236,59,137
santa cruz da conceicao,1027,95,51,732,30,120
santa cruz da esperanca,663,36,56,426,29,116
santa cruz das palmeiras,8490,363,435,6030,272,1389
santa cruz do rio pardo,12074,707,964,7086,457,2860
santa ernestina,1903,33,81,1625,41,123
santa fe do sul,8129,281,883,3473,920,2571
santa gertrudes,5131,64,420,3976,114,557
santa isabel,12965,931,1400,6217,581,3836
santa lucia,2642,83,60,2117,39,344
santa maria da serra,1452,21,130,701,72,530
santa mercedes,799,12,34,341,113,300
santa rita do passa quatro,8836,567,705,5145,746,1674
santa rita d'oeste,706,41,97,234,45,289
santa rosa de viterbo,5952,192,282,4086,272,1121
santa salete,250,0,23,30,92,106
santana da ponte pensa,401,5,38,184,17,158
santana de parnaiba,20588,1145,1565,12301,1169,4408
santo anastacio,5876,321,667,2518,504,1865
santo andre,198317,4066,9601,134128,9675,40847
santo antonio da alegria,1791,31,118,681,85,876
santo antonio de posse,5842,221,336,3540,439,1305
santo antonio do aracangua,2240,70,126,1570,44,431
santo antonio do jardim,2034,70,76,1095,87,706
santo antonio do pinhal,1798,117,209,725,76,672
santo expedito,711,33,48,280,180,170
santopolis do aguapei,1376,25,64,615,115,558
santos,126257,4367,4259,80822,9946,26865
sao bento do sapucai,2745,229,429,959,183,946
sao bernardo do campo,223214,4681,11397,147500,11310,48326
sao caetano do sul,46116,932,1666,31750,2532,9235
sao carlos,62653,3593,3078,44539,2537,8907
sao francisco,751,4,71,165,169,342
sao joao da boa vista,23922,1591,1354,15040,1231,4705
sao joao das duas pontes,801,39,103,433,20,206
sao joao de iracema,570,71,62,172,75,190
sao joao do pau d'alho,561,0,16,272,63,210
sao joaquim da barra,12751,727,1000,8062,484,2479
sao jose da bela vista,2490,61,124,1581,77,646
sao jose do barreiro,1145,71,162,455,69,389
sao jose do rio pardo,15778,965,774,9760,574,3705
sao jose do rio preto,112898,5590,7866,66514,5202,27726
sao jose dos campos,164761,6277,9258,109948,10154,29124
sao lourenco da serra,3159,328,631,1392,100,708
sao luis do paraitinga,2789,125,310,1140,140,1074
sao manuel,11615,705,632,7736,659,1883
sao miguel arcanjo,7055,260,527,3363,424,2481
sao paulo,3291658,123207,176193,2064921,199338,727999
sao pedro,8414,645,928,4006,245,2590
sao pedro do turvo,1852,87,133,796,139,697
sao roque,19962,2049,2145,10834,939,3995
sao sebastiao,19107,2242,3005,7080,1623,5157
sao sebastiao da grama,4397,194,241,2234,207,1522
sao simao,4102,275,240,2617,182,788
sao vicente,85199,3704,5917,52745,4784,18049
sarapui,2227,252,344,771,91,770
sarutaia,1052,19,61,450,32,489
sebastianopolis do sul,731,18,88,299,36,290
serra azul,2264,146,157,1360,137,463
serra negra,8205,639,577,4730,227,2031
serrana,11017,793,1263,6920,217,1823
sertaozinho,30797,940,2338,19507,1601,6412
sete barras,2904,71,230,1223,139,1240
severinia,4524,61,313,2594,109,1448
silveiras,1764,57,171,601,131,804
socorro,9439,461,920,3760,288,4010
sorocaba,141677,6148,7544,92619,9021,26344
sud mennucci,2421,39,221,1626,49,485
sumare,62859,3306,4902,38965,1982,13704
suzanapolis,824,23,99,304,62,336
suzano,61551,1853,3845,36292,3115,16446
tabapua,3633,129,253,1917,315,1019
tabatinga,4413,95,205,2309,160,1644
taboao da serra,62500,2980,4348,39675,2906,12592
taciba,1573,64,174,790,58,487
taguai,2504,37,225,1282,110,850
taiacu,1844,27,118,907,107,686
taiuva,1814,59,133,885,70,667
tambau,7130,364,529,4736,112,1389
tanabi,6824,172,584,3180,368,2520
tapirai,2250,197,242,979,75,756
tapiratiba,4071,161,195,2977,76,662
taquaral,1013,26,31,476,89,391
taquaritinga,15351,645,744,9372,882,3709
taquarituba,6299,189,606,2305,287,2912
taquarivai,1110,36,80,562,16,415
tarabai,1911,69,218,868,78,678
taruma,3292,67,255,2209,395,366
tatui,25891,1414,1651,16787,1071,4969
taubate,72324,2794,4742,43844,7166,13779
tejupa,1839,18,115,518,118,1070
teodoro sampaio,4355,83,410,2398,406,1059
terra roxa,2426,52,201,1434,82,657
tiete,10540,879,713,6986,217,1745
timburi,883,7,82,259,47,488
torre de pedra,419,57,94,186,13,68
torrinha,2656,92,206,1334,126,898
trabiju,454,0,37,353,13,51
tremembe,10959,478,768,5135,737,3842
tres fronteiras,1489,37,156,559,159,578
tuiuti,1606,106,112,710,26,653
tupa,18942,1373,1447,10768,1184,4169
tupi paulista,3918,200,297,1918,422,1081
turiuba,678,6,23,328,58,264
turmalina,673,0,88,241,75,269
ubarana,1440,0,73,711,296,361
ubatuba,19234,1444,2627,7984,906,6273
ubirajara,1275,13,152,579,72,460
uchoa,2906,120,205,1331,198,1054
uniao paulista,414,7,46,198,10,154
urania,2394,62,277,878,244,933
uru,474,8,31,251,27,158
urupes,3479,73,355,1469,66,1516
valentim gentil,3210,44,205,1659,110,1192
valinhos,29073,1330,1934,19728,739,5341
valparaiso,6300,207,392,3920,390,1391
vargem,2135,227,326,968,42,572
vargem grande do sul,12002,379,656,6371,371,4225
vargem grande paulista,9635,768,910,5589,577,1791
varzea paulista,28328,1128,1466,20649,995,4090
vera cruz,3791,260,196,1973,263,1099
vinhedo,16663,950,1436,10701,329,3248
viradouro,4898,129,448,2591,522,1208
vista alegre do alto,1902,36,146,1075,70,575
vitoria brasil,513,37,47,79,23,327
votorantim,26693,897,1157,18348,1723,4567
votuporanga,24016,947,1860,13119,1478,6612
zacarias,495,8,25,299,41,122
