city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
santa maria do herval,25.59,33.6,64.91,62.03,9.5,4.38
santana da boa vista,31.66,33.05,19.13,23.87,49.22,43.07
sao jose do ouro,46.85,49.4,25.87,42.54,27.28,8.06
sao martinho,1.91,14.23,60.95,73.68,37.14,12.09
sao miguel das missoes,2.39,13.57,61.97,67.54,35.65,18.89
sao nicolau,6,15.6,86.53,80.36,7.46,4.04
sao paulo das missoes,2.18,10.57,72.12,85.41,25.7,4.01
sao vicente do sul,38.54,55.9,35.69,29.04,25.76,15.07
segredo,15.32,4.36,17.38,59.11,67.3,36.53
sentinela do sul,13.71,9.02,41.64,70.67,44.65,20.31
sertao,3.45,19.23,54.91,52.08,41.64,28.69
sertao santana,1.76,10.79,53.37,77.98,44.86,11.23
tavares,21.03,13.09,61.77,76.97,17.2,9.93
terra de areia,1.98,7.48,73.87,90.71,24.14,1.81
tiradentes do sul,-,6.8,24.18,50.21,75.82,42.99
trindade do sul,0.55,19.65,49.63,70.21,49.82,10.13
tucunduva,3.89,6.13,80.52,91.59,15.6,2.28
tuparendi,0.87,8.96,72.11,84.94,27.02,6.1
vale real,67.13,22.98,31.66,75.51,1.21,1.5
viadutos,2.68,29.47,48.21,60.58,49.11,9.95
vicente dutra,6.69,24.04,29.5,61.29,63.8,14.67
de 10.001 a 20.000 ,36.58,41.19,42.77,49.22,20.66,9.6
agudo,38.65,42.3,31.78,41.71,29.57,15.98
antonio prado,63.18,75.74,22.01,22.11,14.82,2.15
arroio do meio,33.33,48.35,56.18,51.15,10.49,0.5
arroio do tigre,25.43,37.2,23.65,44.37,50.92,18.43
arroio dos ratos,61.74,67.82,32.93,28.69,5.33,3.49
arroio grande,71.19,66.68,17.61,26.21,11.2,7.11
arvorezinha,34.85,43.97,24.29,38.31,40.86,17.72
balneario pinhal,28.78,34.67,70.23,65.12,0.99,0.21
barra do ribeiro,70.01,66.3,18.24,27.46,11.76,6.24
barros cassal,13.22,22.81,19.71,24.26,67.07,52.93
bom jesus,55.82,62.87,23.57,26.57,20.6,10.56
bom principio,56.75,50.57,41.23,49.17,2.02,0.26
bom retiro do sul,62.69,70.89,26.8,28.52,10.52,0.59
cacequi,5.84,48.12,79.86,42.07,14.3,9.82
capela de santana,23.37,27.79,74.04,71.16,2.59,1.05
cerro grande do sul,17.93,15.84,30.54,48.93,51.53,35.22
cerro largo,31.75,41.44,65.11,58.15,3.14,0.41
cidreira,70.88,42.69,28.22,56.35,0.9,0.95
crissiumal,4.94,12.97,46.54,72.42,48.52,14.61
cruzeiro do sul,38.7,28.94,45.81,69.61,15.49,1.45
dom feliciano,13.81,13.52,8.83,39.33,77.36,47.15
espumoso,13.65,47.03,48.46,45.22,37.89,7.76
feliz,43.86,57.41,50.67,41.75,5.47,0.84
fontoura xavier,2.49,1.57,32,54.77,65.51,43.66
getulio vargas,43.48,55.45,45.18,36.88,11.34,7.67
girua,1.13,12.0,77.7,72.59,21.17,15.4
horizontina,16.58,43.42,68.77,54.86,14.65,1.72
ibiruba,1.31,19.01,71.96,68.44,26.73,12.55
imbe,85,79.64,14.48,20.16,0.52,0.2
