city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
garibaldi,4.13,2.65,1,0.56,2.95,1.61,14.09,9.35
gramado,4.78,2.82,0.96,0.63,3.58,1.79,18.44,10.04
guapore,6.48,3.76,1.75,0.47,4.74,2.49,20.72,12.48
igrejinha,5.49,3.48,1.57,0.68,4.48,2.3,20.81,14.77
itaqui,8.61,6.27,2.44,1.22,7.92,5.11,26.42,19.15
jaguarao,8.31,6.62,2.08,1.78,6.75,4.73,22.28,16.04
lagoa vermelha,9.71,7.44,2.38,1.45,7.54,4.99,28.94,21.27
marau,5.89,3.03,0.59,0.52,4.06,1.53,27.12,14.06
nova prata,4.48,2.88,1.11,0.45,3.1,1.79,16.23,10.21
nova santa rita,8.05,4.55,2.25,0.8,7.15,3.38,26.9,17.14
osorio,6.51,4.19,1.67,0.98,5.01,2.76,22.85,13.47
palmeira das missoes,12.06,8.73,3.37,1.43,11.1,7.55,32.45,22.66
panambi,4.35,2.96,0.93,0.7,3.7,2.01,13.99,10.31
portao,6.52,4.63,1.34,0.83,5.71,3.46,23.6,16.58
quarai,7.93,5.6,2.51,1.27,6.05,4.05,21.5,13.94
rio pardo,11.24,8.27,2.81,1.57,10.07,6.38,26.57,20.56
rosario do sul,9.93,7.73,2.99,1.82,8.53,6.18,23.94,17.7
santa vitoria do palmar,8.89,6.46,2.52,1.27,7.75,5.14,23.18,15.64
santiago,6.89,4.64,1,0.89,4.84,2.63,23.35,14.15
santo antonio da patrulha,12.97,9.05,2.26,1.35,10.18,5.66,37,26.55
sao francisco de paula,9.54,7.46,3.04,1.47,8.62,6.33,22.67,17.87
sao jeronimo,10.84,8.58,2.38,1.64,9.56,6.26,30.1,24.85
sao jose do norte,22.28,17.33,6.96,2.2,22.44,16.35,44.51,37.55
sao lourenco do sul,7.13,5.03,1.88,1.05,6.39,3.8,16.07,12.14
sao luiz gonzaga,9.78,6.7,2.34,1.25,7.61,4.56,29.77,19.38
sao marcos,5.92,3.88,1.09,0.58,4.71,2.41,20.74,13.89
sao sebastiao do cai,5.64,3.51,1.15,0.6,4.8,2.6,16.76,10.89
sao sepe,10.12,7.51,2.55,1.48,8.55,5.67,25.02,17.94
sarandi,6.83,5.04,1.34,0.68,5.55,3.57,22.13,16.51
soledade,11.73,8.9,2.73,1.65,10.82,7.12,32.1,24.0
taquari,9.4,6.45,1.88,1.08,8.46,4.64,25.66,18.61
teutonia,2.71,2.0,0.76,0.43,2.26,1.35,7.67,6.9
torres,6.29,4.6,1.09,0.93,4.95,2.83,24.31,15.33
tramandai,6.29,4.07,2.21,1.32,5.64,3.22,17.74,10.19
tres coroas,6.41,3.97,1.51,0.64,5.44,3.04,23.68,14.65
tres de maio,6.28,4.44,1.27,0.91,4.96,2.93,18.15,12.47
tres passos,6.61,5.31,1.14,0.69,4.63,3.14,21.57,15.77
triunfo,9.89,6.51,2.67,1.4,9.06,5.45,24.54,17.25
tupancireta,8.03,5.44,2.02,0.99,6.43,3.88,23.63,16.48
vera cruz,6.52,4.72,1.69,0.69,5.58,3.3,17.72,14.13
veranopolis,4.55,2.82,0.52,0.47,2.8,1.48,16.87,9.79
de 50.001 a 100.000 ,6.69,4.66,1.67,0.93,5.37,3.28,21.45,14.46
alegrete,8.32,5.92,2.09,1.05,6.9,4.2,24.41,16.58
cachoeira do sul,10.26,7.49,1.79,1.02,8.68,5.46,26.4,18.91
camaqua,10.32,7.21,2.66,1.59,8.44,5.3,30.11,20.47
campo bom,4.88,3.18,1.16,0.63,3.88,2.16,21.18,13.11
cangucu,12.97,9.17,3.03,1.3,11.25,6.82,30.91,23.04
carazinho,6.06,4.1,1.38,1.11,4.63,2.68,19.58,12.48
cruz alta,6.47,4.48,2.03,1.25,5.19,3.49,19.03,11.47
erechim,5.22,3.28,1.28,0.68,3.84,2.03,19.16,11.78
esteio,3.91,2.65,1.11,0.74,2.87,1.89,16.32,8.38
farroupilha,4.37,2.68,1.05,0.59,3.35,1.7,17.29,10.76
guaiba,5.76,3.83,1.16,0.86,4.54,2.5,24.02,14.05
ijui,5.68,4.16,1.56,0.86,4.55,2.76,16.91,12.62
lajeado,4.13,2.69,1.01,0.84,3.18,1.75,15.48,9.87
montenegro,6.21,3.74,1.4,0.88,5.24,2.83,19,11.35
parobe,6.4,4.56,1.66,0.9,5.59,3.42,28.78,20.19
santa rosa,5.71,3.76,1.39,0.65,4.46,2.59,20.82,12.63
sant'ana do livramento,5.99,4.23,1.85,1.18,4.33,3.06,18.12,10.48
santo angelo,6.15,4.23,1.8,0.8,4.91,3.08,18.55,12.3
sao borja,9.04,6.51,2.35,1.06,7.91,4.68,26.06,19.4
sao gabriel,11.45,7.99,3.19,1.58,9.89,6.11,29.59,20.68
sapiranga,5.85,3.91,1.58,0.63,5.2,2.89,22.69,16.25
taquara,6.77,4.34,2.29,0.85,6.11,3.32,17.64,12.2
vacaria,7.33,5.15,1.97,0.83,5.79,3.41,23.56,16.9
venancio aires,6.36,4.6,1.71,1,5.12,3.21,18.17,13.61
de 100.001 a 500.000 ,5.34,3.39,1.55,0.91,4.27,2.35,18.62,11.29
alvorada,5.99,3.93,2,1.19,4.95,2.81,25.32,15.28
bage,7.74,4.93,2.02,1.16,5.9,3.21,22.75,14.72
bento goncalves,3.89,2.23,0.9,0.5,2.76,1.31,15.79,8.41
cachoeirinha,4.51,2.94,1.12,0.79,3.4,1.94,19.57,10.92
canoas,4.36,2.62,1.26,0.77,3.51,1.76,15.75,8.96
caxias do sul,3.65,2.36,0.85,0.62,2.74,1.46,15.05,9.45
gravatai,5.13,3.2,1.43,0.87,4.16,2.13,21.11,11.88
novo hamburgo,5.01,3.36,1.53,0.91,4.24,2.49,17.53,11.14
passo fundo,5.64,3.58,1.46,0.83,4.44,2.48,20.31,12.28
pelotas,6.25,4.13,2.05,1.16,4.88,2.96,17.87,11.1
rio grande,6.99,4.65,2.4,1.21,5.98,3.66,18.45,12.21
santa cruz do sul,4.71,3.37,1.3,1.01,3.67,2.21,15.39,10.8
santa maria,4.96,3.17,1.3,0.7,3.92,2.26,15.7,9.59
sao leopoldo,4.78,3.17,1.51,0.94,4,2.29,17.5,11.11
sapucaia do sul,5.51,3.33,1.43,0.82,4.47,2.22,23.36,12.74
uruguaiana,6.06,4.07,1.95,1.01,4.99,3.27,20.81,12.21
viamao,6.36,4.19,1.76,1.12,5.06,2.89,23.34,14.21
mais de 500.000 ,3.45,2.27,1.52,0.9,2.87,1.74,8.79,5.5
porto alegre,3.45,2.27,1.52,0.9,2.87,1.74,8.79,5.5
