apresent;1
continham;1
carimbo;1
assinatura;1
atesto;1
formalizacao;2
licitacao;7
optando;1
aderir;1
decorrente;2
pregao;4
presencial;4
xapuri;2
prega;1
identificadas;3
ampla;2
pesquisa;10
previa;1
adesao;1
rt;1
instrucao;2
normativa;2
planejamento;4
orcamento;2
procedimento;2
administrativo;2
abe;2
tcu;1
entendim;1
ento;1
consolidado;1
recomendando;1
junte;1
autos;1
junto;7
empresas;5
distintas;1
ramo;1
licitado;2
acordao;1
plenario;1
pese;3
al;1
verifi;1
sobrepreco;7
firmados;1
vencedora;2
sales;1
cnpj;2
haja;2
clausula;2
prevendo;1
penalidades;1
descumprimento;2
clausulas;1
mencionem;1
expressamente;1
prazos;3
local;7
fi;2
completa;2
existenc;1
ia;1
certidoes;1
negativas;1
validas;1
receita;3
fgts;1
debitos;1
trabalhistas;8
encontrou;1
certidao;1
negativa;1
debito;1
inss;1
pesquisas;3
departamento;7
determinado;1
feita;2
solicitacao;6
fornecedor;4
nformou;1
fornecidas;2
copias;1
entr;1
ega;1
constariam;1
resto;1
adequado;4
cons;3
ignar;1
obrigacoes;1
baseadas;1
realizad;1
cotejamento;1
exista;1
umero;1
absoluta;1
maioria;2
estivesse;1
paco;1
tes;1
cafe;3
po;3
figurou;1
ofertado;2
digitacao;3
erro;3
entregou;1
requisicao;1
verificados;1
menciona;1
irregular;4
fora;5
compensada;1
natural;1
teria;1
restituir;1
toda;3
hou;1
apresentacao;1
documento;10
confirmasse;1
transa;1
cao;5
destinados;4
respectivo;1
destina;1
va;1
suprimento;1
loco;2
existe;2
consonancia;1
ocorrem;1
envio;1
median;1
te;1
requisita;1
mensais;2
periodicidade;1
verifica;6
distr;1
ibu;1
icao;1
estamos;3
construindo;1
juntamente;1
reconheceu;3
impropriedade;2
efetiva;5
construcao;1
humanos;1
merendas;5
escolares;2
financiadas;1
suficientes;1
qualificados;1
mer;1
endeiras;1
pessoal;4
pessoas;3
envolvidas;1
capacitacoes;6
anos;1
iv;1
cursos;5
feitos;2
mensalmente;1
dando;1
manifestacaounidad;1
eexaminada;1
reconhece;6
informa;1
capacitar;5
dado;1
previsto;2
selecionada;1
refeitorios;1
adequadas;1
colas;1
astro;1
casin;1
proprias;1
bancadas;1
improvisadas;1
corredor;1
cola;1
espacos;1
instituicao;1
espaco;1
destinado;2
serventia;1
servir;1
adequacao;1
deficiente;2
elho;2
acompanhamento;5
atuado;1
ativamente;1
formais;1
plano;6
comprobatorios;1
servidor;2
ordinarias;1
extraordinarias;1
referentes;6
ficaram;1
comprovadas;1
reun;1
ioes;1
prestacao;6
emissao;4
parecer;6
trabalho;5
discutir;1
tra;1
balho;1
encontros;1
mencionar;1
propriamente;1
listas;1
presenca;1
assunto;2
reuniao;4
cabecalho;1
detalhasse;1
discutidos;1
deliberacoes;1
tomadas;1
excecao;1
conclusivo;2
pode;2
ler;1
realizamos;1
poucas;2
visitas;2
observar;1
perto;1
alimentac;1
adiante;1
enfim;1
organizacao;3
carencias;1
estruturais;1
limito;1
praticamente;1
unanimes;1
reconhecer;1
baixa;3
onselho;2
president;1
atuar;3
licitacoes;3
fisico;2
rograma;2
metas;2
objetivos;1
diante;8
uti;1
lizado;1
pautar;1
ons;1
exposto;7
conclui;5
gfe;5
deveras;1
timid;1
limitacoes;1
certo;1
modo;3
podem;4
minimizadoras;1
culpabilidades;1
claro;2
poucos;1
desenvolvidas;2
conduzem;1
ele;1
uou;1
atuou;2
mal;1
podemos;1
repente;1
afirmarmos;1
aconteceu;1
devido;2
cuidado;1
refere;2
conselh;1
regulares;1
escala;1
agenda;2
visitacoes;3
obs;1
nessa;1
proposta;1
visitacao;3
repassado;1
instrumentos;2
subsidio;1
atividade;1
renovacao;2
momentos;4
instrucionais;2
principalmente;1
encaminhamentos;1
definidas;2
esteve;2
atuando;1
arios;1
fez;2
ressaltando;2
recebendo;1
orientacao;2
ela;1
boraram;1
confeccionaram;1
cracha;1
deliberaram;1
encaminhados;2
arquivados;1
arquivo;2
exi;1
ste;1
uso;4
material;2
ali;1
