city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
carlos chagas,28.69,21.95,5.96,3.13,28.54,17.33,68.94,58.99
carmo do cajuru,9.66,6.38,1.82,0.89,7.86,4.13,34.06,23.53
carmo do paranaiba,11.47,8.92,2.89,1.47,9.42,6.65,37.73,26.34
carmo do rio claro,11.96,8.81,2.75,1.35,10.38,6.6,35.58,26.4
caxambu,7.89,5.97,1.91,0.95,6.7,4.03,22.48,17.02
claudio,8.06,4.92,1.77,0.82,6.37,3.33,29.47,19.18
conceicao das alagoas,13.46,8.68,5.09,2.5,12.46,8.64,36.96,22.64
congonhas,6.89,4.49,1.43,0.73,5.88,3.13,27.04,18.45
conselheiro pena,20.78,16.22,5.22,1.9,19.3,13.21,51.37,42.44
coracao de jesus,23.21,18.24,6.77,3.45,23.28,15.66,62.37,51.31
corinto,13.31,10.13,3.72,2.58,12.57,8.4,32.66,25.08
coromandel,11.23,8.06,2.79,1.08,9.44,5.54,38.2,26.46
diamantina,13.84,9.28,4.58,1.45,14.03,8.26,35.19,28.61
eloi mendes,14.43,11.35,3.37,1.6,13.51,9.12,41.13,33.14
espera feliz,18.97,13.92,5.66,1.84,19.09,13.02,46.97,35.84
espinosa,29.8,23.34,7.7,3.27,33.11,21.48,70.28,63.76
extrema,10.33,6.22,2.32,0.98,8.46,4.26,33.49,22.43
francisco sa,28.26,20.91,9.42,4,30.46,19.34,61.91,54.06
guanhaes,16.57,11.89,3.81,1.54,16.13,10.08,45.62,35.84
guaxupe,10.11,6.09,2.69,0.72,8.76,4.56,29.42,18.64
ibia,10.03,6.45,2.84,1.33,8.47,5.32,31,18.83
igarape,11.93,7.3,3.47,1.2,11.05,5.11,41.96,29.24
inhapim,20.83,15.27,4.83,2.21,19.42,11.95,52.15,40.53
itabirito,6.02,4.0,1.75,0.88,5.27,3.06,19.35,13.43
itamarandiba,27.51,18.71,6.29,1.49,31.1,17.53,67.81,58.81
itambacuri,28.69,21.26,8.67,3.21,29.07,18.35,61.85,53.82
itaobim,26.73,20.96,6.11,3.11,26.91,16.52,69.51,58.14
itapecerica,14.28,11.02,2.32,1.09,12.3,7.16,37.45,30.9
iturama,12.33,8.66,2.74,1.22,10.45,6.97,45.26,29.97
jacutinga,11.83,7.12,2.78,1.36,10.37,5.0,33.78,24.26
jaiba,26.36,18.29,9.94,3.34,31.59,19.45,67.49,58.04
jequitinhonha,33.68,25.38,10.73,3.7,35.06,21.66,67.73,60.72
joao pinheiro,15.73,10.8,4.44,1.82,14.84,8.94,51.28,36.74
juatuba,11.6,8.57,2.69,0.87,11.9,7.16,37.63,30.84
lagoa da prata,9.28,6.48,2.21,1.14,8.3,4.78,32.12,24.14
machado,10.97,8.07,2.98,1.19,10.29,6.8,31.97,24.24
manhumirim,16.5,12.74,6.1,2.32,16.11,11.33,37.12,32.42
mantena,21.14,15.43,5.55,1.9,20.22,12.15,52.83,42.49
mateus leme,11.69,7.83,2.92,1.06,11.05,6.04,36.99,25.5
matozinhos,8.33,5.7,1.63,0.84,7.6,4.11,30.75,22.9
medina,29.78,22.45,7.29,2.53,30.1,18.17,68.33,59.9
minas novas,33.53,23.0,8.58,1.96,42.53,24.83,79.94,72.55
monte azul,27.98,22.59,5.43,2.48,29.13,18.18,70.69,60.91
monte carmelo,10.26,7.61,3.15,1.39,9.98,6.35,31.25,23.73
monte santo de minas,14.47,12.67,2.2,1.52,12.48,9.15,39.93,35.21
monte siao,10.87,7.22,2.68,1.12,8.61,4.91,39.69,27.08
mutum,22.89,18.16,6.17,2.13,24.21,15.44,51.11,46.59
muzambinho,8.94,6.16,1.97,0.87,7.51,4.51,26.05,17.66
nanuque,19.16,15.52,3.91,1.8,17.38,10.91,55.73,47.99
nepomuceno,14.76,11.25,3.95,1.84,14.1,9.1,38.96,31.18
novo cruzeiro,38.99,27.72,13.77,4.07,45.36,29.04,74.25,66.65
oliveira,9.61,6.12,3.55,1.26,8.24,4.51,26.23,18.0
ouro branco,7.98,4.69,1.74,0.75,7.46,3.56,38.75,22.68
ouro fino,11.67,8.65,3.59,1.64,10.02,6.55,30.98,22.86
paraguacu,9.51,7.25,2.14,0.76,7.31,5.08,30.37,22.06
paraopeba,9.37,6.11,2.6,1.12,9.07,5.13,30.09,20.65
pedra azul,27.88,20.1,7.57,2.05,30.73,17.97,62.57,54.87
perdoes,10.64,7.44,1.49,1.17,8.9,4.9,33.62,24.08
pitangui,10.5,6.13,3.07,0.96,9.46,4.44,29.29,20.96
piumhi,9.68,7.06,2.37,1.23,8.16,5.1,29.1,21.46
pompeu,14.59,9.61,5.43,1.44,14.61,8.69,35.67,28.14
porteirinha,27.53,21.22,7.66,2.75,30.16,19.84,68.32,55.99
prata,12.79,9.67,3.77,1.92,11.38,8.0,37.97,28.28
raul soares,17.66,13.89,4.62,2.05,16.24,11.05,39.99,32.83
rio pardo de minas,34.39,23.43,9.96,3.05,40.19,23.25,78.59,67.36
sacramento,9.98,6.41,2.22,1.35,8.66,4.87,29.66,19.22
salinas,23.85,17.28,5,1.85,23.54,13.59,63.84,50.86
santa barbara,9.42,5.8,2.45,1.24,8.83,4.44,30.95,21.37
santa rita do sapucai,11.78,8.55,3.38,1.11,10.88,7.16,32.57,26.53
santana do paraiso,15.54,9.3,3.27,1.22,15.08,6.64,57.11,41.52
santo antonio do monte,10.37,6.4,2.32,0.95,9.41,4.55,31.41,22.33
santos dumont,10.15,7.26,2.57,1.19,8.8,5.44,29.35,21.0
sao goncalo do sapucai,10.55,8.04,3.23,1.16,9.69,7.07,28.34,21.15
sao gotardo,11.82,8.03,4.59,1.64,10.64,6.75,35.97,26.06
sao joao da ponte,37.35,28.92,14.72,4.02,41.86,29.96,76.97,69.21
sao joao do paraiso,38.66,27.6,10.2,2.58,45.56,27.73,82.23,74.06
sao joao nepomuceno,8.8,5.34,2.69,0.86,6.58,3.56,24.22,15.98
sao joaquim de bicas,13.97,8.65,3.38,1.59,14.33,7.04,44.94,32.16
sao lourenco,6.43,4.25,1.32,0.9,5.16,2.75,19.67,12.87
sarzedo,8.86,5.88,2,1.28,8.27,4.16,42.55,29.19
serro,26.9,18.68,10.45,3.32,28.13,18.17,55.98,46.73
