city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
itamarati de minas,73.18,68.44,5.51,19.32,21.31,12.24
itambe do mato dentro,20.74,42.42,17.18,17.46,62.07,40.12
itutinga,18.83,48.13,62.79,29.67,18.38,22.2
jaguaracu,51.03,67.34,27.43,27.25,21.53,5.41
japaraiba,51.77,62.36,22.9,21.73,25.33,15.91
jesuania,58.2,67.12,3.89,11.73,37.92,21.15
joaquim felicio,10.48,25.24,54.18,35.52,35.34,39.24
jose goncalves de minas,14,29.96,43.15,22.18,42.84,47.86
jose raydan,5.09,29.71,27.99,18.29,66.92,52.01
josenopolis,0.43,39.69,44.26,29.58,55.32,30.74
juramento,9.88,36.95,59.17,29.86,30.95,33.19
lagoa dos patos,0.2,0.92,64.75,70.92,35.05,28.15
lamim,22.35,27.9,18.88,25.66,58.77,46.44
leandro ferreira,49.61,62.38,12.37,17.62,38.02,20
leme do prado,31.17,57.54,58.25,23.6,10.58,18.85
madre de deus de minas,68.05,76.9,12.98,6.2,18.98,16.9
marilac,16.44,58.72,64.5,29.66,19.06,11.62
maripa de minas,34.33,56.88,39.62,33.63,26.05,9.48
marlieria,47.73,47.11,24.76,48.31,27.5,4.58
marmelopolis,37.26,37.02,23.82,55.03,38.92,7.96
materlandia,19.95,34.22,25.09,25.16,54.96,40.63
mathias lobato,37.28,55.66,51.86,38.79,10.86,5.56
matutina,57.99,77.17,23.9,14.64,18.11,8.18
medeiros,31.15,52.81,23.06,19.89,45.79,27.3
minduri,74.11,83.95,16.41,10.73,9.48,5.32
miravania,2.43,0.93,46.68,88.45,50.88,10.62
moeda,27.28,27.11,31.08,55.31,41.64,17.58
monjolos,1.49,2.77,74.34,65.55,24.17,31.68
monte formoso,8.08,32.38,23.81,10.22,68.11,57.4
morro da garca,9.02,37.25,43.83,27.35,47.16,35.4
morro do pilar,19.78,37.61,50.9,44.15,29.32,18.24
nacip raydan,10.14,51.38,60.71,19.58,29.15,29.04
natalandia,38.05,51.73,36.86,24.95,25.09,23.32
natercia,51.54,49.46,17.03,46.97,31.43,3.57
nova belem,13.42,30.15,11.58,19.85,75,50
nova modica,39.94,44.39,18.36,29.13,41.7,26.48
novorizonte,0.09,2.89,63.33,70.73,36.58,26.38
olaria,33.07,46.12,28.98,40.45,37.95,13.43
olimpio noronha,76,85.59,17.83,13.41,6.17,1
oliveira fortes,44.3,43.91,10.58,23.01,45.12,33.08
onca de pitangui,26.78,33.87,22.36,47.9,50.86,18.23
oratorios,56.7,69.24,8.78,3.58,34.52,27.18
paineiras,0.65,0.66,76.37,80.52,22.98,18.82
paiva,39.2,50.38,36.08,29.2,24.72,20.42
passabem,26.35,28.73,13.17,32.32,60.48,38.96
passa-vinte,52.87,59.34,11.94,14.37,35.19,26.29
paulistas,19.54,37.04,22.96,30.8,57.5,32.16
pedra do anta,42.46,59.43,12.57,10.17,44.97,30.41
pedra do indaia,48,58.81,21.4,10.81,30.61,30.39
pedra dourada,61.38,63.27,9.76,14.6,28.86,22.12
pedrinopolis,78.88,81.15,6.35,8.99,14.78,9.87
pedro teixeira,15.08,31.4,36.36,40.44,48.55,28.16
pequeri,74.91,70.21,16.77,25.67,8.32,4.12
pequi,1.57,28.55,76.08,51.84,22.34,19.61
pescador,46.33,66.35,27.55,14.11,26.12,19.54
piau,44.39,48.4,15.68,36.78,39.93,14.82
piedade de ponte nova,65.11,72.43,9.43,19.3,25.46,8.26
piedade do rio grande,34.39,48.7,35.79,31.47,29.82,19.83
piedade dos gerais,0.32,1.16,35.67,54.63,64,44.22
pingo-d'agua,68.55,85.7,21,7.3,10.45,6.99
pirajuba,70.94,84.2,11.86,6.37,17.19,9.43
ponto chique,0.26,19.31,57.33,49.95,42.41,30.73
pratinha,53.75,54.54,3.75,12.95,42.49,32.51
presidente juscelino,32.5,36.96,25.24,18.52,42.26,44.52
presidente kubitschek,31.09,68.95,38.3,16.71,30.61,14.34
quartel geral,1.64,34.56,76.44,53.41,21.92,12.03
queluzito,33.2,47.01,33.2,23.59,33.6,29.4
ressaquinha,37.76,26.22,31.37,50.28,30.88,23.5
ribeirao vermelho,82.03,90.86,8.83,6.43,9.14,2.72
rio doce,57.23,70.19,17.92,23.74,24.84,6.06
ritapolis,2.77,23.08,73.12,56.04,24.11,20.89
rochedo de minas,69.66,66.0,21.18,28.59,9.16,5.41
