city,total,regular,military_and_gov,irregular,entrepreneur,employers
cairu,640.14,722.09,739.44,524.2,609.03,3599.74
caldeirao grande,413.96,635.34,732.46,382.36,286.33,-
camacan,825.77,809.69,1408.87,447.93,1319.64,911
camacari,965.01,1062.49,1626.1,567.01,922.41,3726.57
camamu,511.67,714.89,1339.91,406.87,425.68,1913.7
campo alegre de lourdes,507.94,770.37,851.76,362.22,489.45,765.74
campo formoso,489.09,879.25,1117.16,347.05,345.07,2407.34
canapolis,404.39,561.28,666.93,327.55,364.82,417.38
canarana,361.86,741.21,772.47,241.25,383.47,903.96
canavieiras,600.41,743.05,1787.69,439.4,542.28,3693.48
candeal,423.96,601.91,618.46,316.5,448.93,1429.5
candeias,871.62,1025.93,839.14,495.11,669.17,2531.06
candiba,502.29,685.19,917.29,353.84,487.41,1108.58
candido sales,483.7,686.13,860.32,335.58,532.9,2269.72
cansancao,430.6,823.21,656.4,298.49,336.81,2841.65
canudos,454.44,794.47,979.56,345.39,343.53,3104.23
capela do alto alegre,480.35,647.91,700.27,363.37,427.1,2859.43
capim grosso,584.5,667.53,824.24,363.25,641.68,2171.46
caraibas,509.25,603,719.6,462.95,434.53,3000
caravelas,658.55,824.42,1572.41,427.25,558.31,1771.59
cardeal da silva,598.67,706.87,726.19,482.52,435.13,3000
carinhanha,404.04,700.17,785.74,311.7,364.7,501.79
casa nova,607.31,607.52,1023.1,402.44,683.13,4752.75
castro alves,549.94,674.14,856.25,368.1,458.47,1904.01
catolandia,564.89,672.15,1032.92,374.39,536.24,510
catu,1024,1275.78,1740.02,501.7,556.05,9113.69
caturama,397.25,642.04,402.51,318.4,312.09,2133.37
central,418.85,863.53,786.41,340.48,319.14,1082.71
chorrocho,486.91,991.49,956.59,376.52,355.21,788.81
cicero dantas,533.38,686.25,1192.25,312.9,630.09,2198.34
cipo,468.02,740.63,1307.33,443.11,355.11,3094.99
coaraci,701.53,752.43,1666.04,386.32,771.72,2528.2
cocos,664.4,869.96,766.86,550.7,590.32,1417.05
conceicao da feira,617.92,699.32,541.46,476.21,594.52,2073.76
conceicao do almeida,686.74,722.65,2108.28,455.92,684.35,2022.09
conceicao do coite,516.43,705.38,1471.23,332.13,417.84,2132.13
conceicao do jacuipe,704.84,780.59,1284.05,464.47,653.89,2618.92
