city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
luzerna,3.96,2.16,1.08,0.11,2.75,1.66,12.9,5.56
major vieira,9.86,6.08,2.42,1.32,8.36,4.26,30.63,21.64
maracaja,7.45,5.53,1.66,1.61,5.07,4.11,35.09,19.41
meleiro,8.93,5.16,1.42,0.85,7.69,4.05,27.54,15.28
monte carlo,13.66,12.5,4.09,1.83,13.61,11.07,49.89,42.35
monte castelo,12.08,7.38,2.27,2.18,11.04,5.01,37.39,25.39
ouro,5.79,4.27,1.15,0.72,4.77,3.23,18.4,12.35
palma sola,12.77,8.96,3.49,1.08,12.3,7.94,37.54,26.8
passo de torres,8.33,6.87,1.66,1.61,6.53,5.96,32.58,19.0
paulo lopes,16.99,11.08,4.05,1.75,15.82,9.48,46.43,29.94
petrolandia,8.33,7.54,1.58,1.4,6.72,5.66,24.61,21.49
praia grande,12.34,9.6,2.98,1.19,10.19,7.08,39.68,29.23
rio das antas,8.1,6.0,2.07,1.18,6.82,5.17,23.44,14.84
rio do campo,7.84,5.77,1.63,0.99,6.59,4.65,26.42,16.47
rio do oeste,6.29,4.75,1.34,1.39,5.75,3.64,16.55,11.94
romelandia,11.23,11.36,3.65,2.54,9.61,10.08,29.39,23.22
salete,6.32,4.6,1.48,0.84,6.21,4.16,19.92,12.29
santa rosa do sul,9.63,6.62,1.84,0.66,7.1,4.74,36.18,22.65
santa terezinha,9.08,5.66,2.56,1.37,9.51,4.92,25.04,17.91
sao cristovao do sul,11.57,12.62,3.05,1.85,12.15,13.24,33.56,30.16
sao domingos,11.38,9.27,2.4,0.9,10.67,7.03,32.71,29.28
sao joao do oeste,0.91,1.04,0.45,0.41,0.96,1.17,1.33,1.3
sao joao do sul,12.16,7.7,2.3,0.88,9.68,5.37,41.94,25.96
sao jose do cerrito,16.71,12.92,4.94,2.64,14.83,10.16,39.8,31.24
saudades,5.21,4.38,1.96,0.79,5.16,4.1,11.36,11.9
tangara,7.05,6.56,1.8,1.23,6.11,5.47,19.41,17.02
timbe do sul,11.52,8.51,2.8,1.91,10.97,7.41,31.47,20.74
timbo grande,15.89,9.6,6.65,2.16,15.4,9.16,48.63,31.53
treze de maio,9.23,5.78,1.64,1.14,7.4,5.28,31.96,14.68
treze tilias,6.8,4.48,1.62,0.77,6.17,3.53,20.38,14.75
trombudo central,6.58,4.33,1.42,0.99,5.73,3.48,20.18,12.17
vidal ramos,10.98,8.48,3.08,1.53,11.63,7.99,26.68,22.07
vitor meireles,9.75,7.86,3.73,1.97,8.74,6.89,28.21,21.0
de 10.001 a 20.000 ,8.4,5.7,2.18,0.98,7.48,4.66,26,17.41
abelardo luz,13.56,11.04,4.33,1.47,13.79,9.79,40.45,34.78
balneario picarras,6.53,4.54,1.92,0.95,5.79,4.02,19.21,12.1
benedito novo,5.17,4.11,1.65,0.59,4.46,3.68,13.73,10.29
bombinhas,6.05,3.45,1.34,0.85,5.91,3.0,19.93,10.92
campo alegre,7.01,4.4,1.58,0.87,7.11,3.88,18.93,11.01
canelinha,11.79,7.89,3.53,1.15,11.06,6.58,33.72,27.0
cocal do sul,4.5,2.81,1.36,0.81,3.22,1.89,25.51,12.21
coronel freitas,10.89,8.27,3.14,0.65,9.11,6.82,36.55,23.4
correia pinto,10.5,9.4,3.04,1.67,9.93,8.23,32.73,26.74
corupa,4.29,3.09,1.68,0.74,3.2,2.39,12.97,9.42
cunha pora,7.21,4.87,1.58,0.68,5.66,3.76,20.82,13.13
