city,total,adequada,semi_adequada,inadequada
quadra,1033.41186447,232.81697616,797.42642728,3.16846103
quata,4008.91646071,3388.29459786,593.61710856,27.00475429
queiroz,878.04100063,644.03186339,226.30880474,7.7003325
queluz,3001.00000001,1563.77085571,1414.99056231,22.23858199
quintana,1947.00000001,1622.60936131,319.7710828,4.6195559
rafard,2524.00000002,1889.47763199,629.57451682,4.94785121
rancharia,9408.31813674,7459.66664676,1905.82818564,42.82330434
redencao da serra,1263.99999997,359.10576838,857.74590805,47.14832354
regente feijo,5935.2961049,4830.66875883,1076.51798808,28.10935799
reginopolis,1756.99999997,1291.53634126,448.2502042,17.21345451
registro,16480.57575834,10638.77110737,5666.88029669,174.92435428
restinga,1826.00000001,1152.50178992,658.17539866,15.32281143
ribeira,1052.8837376,202.54490919,829.62989492,20.70893349
ribeirao bonito,3762.86424328,2813.23437216,908.92365819,40.70621293
ribeirao branco,5310.68235168,2004.59588956,3079.05192596,227.03453616
ribeirao corrente,1299.99999999,808.28040041,479.03505467,12.68454491
ribeirao do sul,1409.00000002,803.45824651,592.16491969,13.37683382
ribeirao dos indios,747,583.98301998,157.47572046,5.54125956
ribeirao grande,2238.05795702,797.10530557,1416.96755567,23.98509578
ribeirao pires,33819.00000003,22693.63631606,11058.35125972,67.01242425
ribeirao preto,195275.85578093,169080.95295239,26154.91985375,39.98297479
rifaina,1151.74334756,853.71097625,298.03237131,-
rincao,3104.60695168,2123.88018667,980.72676501,-
rinopolis,3268.99999997,2538.22181806,718.70619829,12.07198362
rio claro,59726.65298014,50152.35628612,9532.86426121,41.43243281
rio das pedras,8689.51535711,6721.15463617,1968.36072094,-
rio grande da serra,13185.17567232,7047.90919222,6089.93311232,47.33336778
riolandia,2936.99999999,2223.42580204,696.45800575,17.1161922
riversul,2043.92300092,1200.68286002,821.87941927,21.36072163
rosana,6136.17062521,4577.93392345,1419.4094275,138.82727426
roseira,2843.41126009,2038.44611069,794.69694384,10.26820556
rubiacea,866,581.24076197,281.47358958,3.28564845
rubineia,992.76675322,625.83021864,363.74759702,3.18893756
sabino,1736.00000001,1302.75845825,420.04595475,13.19558701
sagres,777.00000001,546.56421684,229.00368117,1.432102
sales,1821,1426.19759421,383.49331951,11.30908628
sales oliveira,3234,2565.14851889,634.87338255,33.97809856
salesopolis,4674.08525332,2117.71157635,2534.12279228,22.25088469
