city,total,suitable,semi_suitable,inappropriate
caxambu do sul,1418.99999998,174.47737158,1185.13636059,59.38626781
celso ramos,858.23556939,215.5003164,636.99669763,5.73855536
cerro negro,1099.36430979,66.12925929,1004.91067687,28.32437363
chapadao do lageado,835.10753189,65.70869928,748.57536229,20.82347032
chapeco,58788.81662658,29110.10479951,29437.17583073,241.53599634
cocal do sul,4775.99999999,2868.96271925,1907.03728074,-
concordia,23014.26562162,16448.85899763,6520.77797304,44.62865095
cordilheira alta,1113.00000002,245.12610388,852.48348995,15.39040619
coronel freitas,3084.00000004,1230.80077911,1826.06042451,27.13879642
coronel martins,738.00000001,72.06466778,635.19218149,30.74315074
correia pinto,4558.00276571,2674.0666965,1846.13860111,37.7974681
corupa,4281.99999999,2311.67224276,1947.14125994,23.18649729
criciuma,61583.16332466,50755.21195229,10825.93336621,2.01800616
cunha pora,3581.4860613000005,759.01412033,2728.06409754,94.40784343
cunhatai,552.88132448,102.48867704,426.60820016,23.78444728
curitibanos,11716.39975018,6611.3379776,5032.13559063,72.92618195
descanso,2651.00000002,242.46232255,2339.49836786,69.03930961
dionisio cerqueira,4664.22990916,1474.73639449,3055.57502831,133.91848636
dona emma,1116.11270209,367.15690767,745.32118295,3.63461147
doutor pedrinho,1149.99999999,460.84948318,674.06521364,15.08530317
entre rios,889.99999998,45.39147315,693.38209186,151.22643497
ermo,648.50312425,210.08487172,438.41825253,-
erval velho,1443.00000002,566.68681668,867.55458769,8.75859565
faxinal dos guedes,3203.00000001,1767.5919085,1435.40809151,-
flor do sertao,495.88172251,45.93931471,444.89216997,5.05023783
florianopolis,147406.32004419,116857.28539626,30549.03464793,-
formosa do sul,754.99999999,322.59667057,427.58639816,4.81693126
forquilhinha,6937.68637776,4338.12932931,2590.93706719,8.61998126
fraiburgo,10510.00000002,6313.71823116,4127.85282435,68.42894451
frei rogerio,733.99999999,98.68900253,619.3468297000003,15.96416776
galvao,1118.99999999,64.08332751,1037.22781298,17.6888595
garopaba,6091.05340346,2242.74241724,3848.31098622,-
garuva,4215.18381769,1677.1454581,2531.70476129,6.3335983
gaspar,17920.39613155,12664.28658691,5256.10954464,-
governador celso ramos,4105.4425511,2701.25843943,1404.18411167,-
grao para,1917.99999999,867.10035468,1019.35123866,31.54840665
gravatal,3557.54944362,1392.08434202,2151.85648395,13.60861765
guabiruba,5601.96921648,2908.9510834,2693.01813308,-
guaraciaba,3256.35230002,1135.58092486,2081.79016146,38.9812137
guaramirim,10674.0,5634.17841676,5039.82158324,-
guaruja do sul,1626.81358919,439.8220128,1169.9833410999995,17.00823529
guatambu,1422.99999998,107.96128126,1246.78431209,68.25440663
herval d'oeste,6896.41731795,5211.64856636,1680.07025319,4.6984984
ibiam,626.99999997,205.15226422,408.27656095,13.5711748
ibicare,1114.99999998,484.15393041,627.85933841,2.98673116
ibirama,5518.00000002,3837.33588762,1680.6641124000002,-
icara,18528.25677489,10827.58792707,7614.8834072,85.78544062
ilhota,3829.0,1255.45215866,2567.90642086,5.64142048
imarui,3890.25152822,1459.57779047,2383.09971227,47.57402548
imbituba,13164.371211,6657.32755221,6498.79568315,8.24797564
imbuia,1779.11922068,415.15149617,1351.53058004,12.43714447
indaial,17366.49999996,12941.65297394,4424.84702602,-
iomere,887.0,290.76973614,596.23026386,-
