city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
nova aurora,10.36,4.91,61.59,75.8,28.05,19.29
nova laranjeiras,6.45,17.44,31.99,30.12,61.56,52.44
nova londrina,30.35,71.53,59.73,24.17,9.92,4.29
nova prata do iguacu,2.72,23.98,57.35,52.98,39.93,23.04
palmital,7.44,9.57,44.15,58.7,48.41,31.72
paraiso do norte,10.88,14.63,79.39,81.86,9.73,3.51
paranacity,34.76,41.68,57.72,53.18,7.52,5.13
peabiru,5.38,24.15,76.86,60.66,17.76,15.19
perola,1.99,14.82,83.36,74.3,14.65,10.88
pien,18.39,45.25,59.1,49.81,22.51,4.95
planalto,4.76,14.87,45.04,76.92,50.2,8.21
porecatu,81.38,89.44,13.96,8.94,4.65,1.62
primeiro de maio,2.12,8.45,83.64,84.43,14.25,7.12
quatro barras,64.78,79.71,32.66,19.45,2.56,0.84
querencia do norte,1,9.02,71.87,66.16,27.13,24.82
quitandinha,15.97,13.59,33.91,71.99,50.12,14.41
realeza,13.28,22.31,56.83,63.51,29.89,14.18
reboucas,28.61,43.59,41.26,43.73,30.13,12.68
ribeirao claro,61.64,72,10.99,20.26,27.37,7.75
ribeirao do pinhal,49.21,55.13,32.82,37.79,17.97,7.08
rio azul,30.46,37.45,24.91,39.03,44.63,23.52
rio bonito do iguacu,5.18,5.07,21.54,32.23,73.27,62.7
roncador,10.35,9,45.54,65.98,44.11,25.02
salto do lontra,10.92,19.96,40.3,60.91,48.78,19.12
santa fe,15,21.69,68.11,67.24,16.89,11.07
santa izabel do oeste,18.68,23.51,36.88,69.64,44.44,6.85
santa maria do oeste,0.65,3.55,28.75,47.11,70.6,49.34
santa mariana,40.36,43.58,47.23,49.19,12.41,7.23
santa tereza do oeste,1.29,13.54,75.53,73.2,23.18,13.26
santo antonio do sudoeste,34.6,63.13,38.76,30.51,26.64,6.36
sao jeronimo da serra,3.72,13.01,53.82,54.58,42.46,32.42
sao joao,19.87,34.14,34.36,40.21,45.77,25.64
sao joao do ivai,61.98,8.23,27.23,75.22,10.79,16.55
sao joao do triunfo,19.29,2.2,35.15,61.2,45.56,36.6
sao pedro do ivai,32.28,46.34,54.48,44.8,13.25,8.86
senges,27.77,44.46,50.93,42.85,21.31,12.69
sertanopolis,36.89,45.08,49.32,45.04,13.79,9.88
siqueira campos,54.13,64.64,24.87,27.17,21.01,8.19
tamarana,4.05,23.61,62.29,43.28,33.66,33.11
tapejara,19.41,83.59,64.96,11.26,15.62,5.15
teixeira soares,29.57,20.1,38.07,53.68,32.36,26.22
terra boa,7.6,31.53,78.57,61.22,13.82,7.25
terra rica,11.2,26.16,77.06,68.14,11.74,5.7
terra roxa,1.51,40.06,73.49,49.19,24.99,10.75
tibagi,30.25,48.45,39.55,34.45,30.21,17.1
tijucas do sul,7.32,26.32,55.64,64.85,37.04,8.83
tres barras do parana,0.32,14.83,52.53,49.93,47.15,35.24
turvo,10.54,12.51,31.96,48.87,57.5,38.62
urai,45.71,56.02,36.97,32.18,17.32,11.8
wenceslau braz,26.92,23.41,50.95,61.47,22.13,15.12
de 20.001 a 50.000 ,39.87,51.74,42.94,38.14,17.19,10.12
altonia,18.15,18.05,55.03,68.48,26.82,13.47
andira,48.48,56.33,44.46,40.89,7.06,2.78
arapoti,5.15,34.03,75.06,56.45,19.79,9.52
assis chateaubriand,27.5,44.47,53.17,44.62,19.33,10.91
astorga,30.2,61.09,60.41,32.22,9.39,6.7
bandeirantes,56.04,84.61,29.16,6.7,14.8,8.69
cambara,79.32,90.34,9.86,6.32,10.82,3.33
campina grande do sul,60.32,76.17,30.48,22.02,9.19,1.81
campo magro,40.81,50.5,52.59,47.11,6.61,2.39
colorado,69.38,62.57,24.86,34.07,5.76,3.36
cornelio procopio,78.02,89.72,14.34,6.58,7.64,3.7
coronel vivida,15.47,33.93,50.34,49.84,34.19,16.23
cruzeiro do oeste,11.05,48.52,70.18,40.95,18.77,10.53
dois vizinhos,25.53,45.7,48.69,39.77,25.78,14.53
goioere,24.28,42.31,64.78,51.06,10.94,6.63
guaira,45.9,50.47,41.02,43.56,13.08,5.97
guaratuba,73.48,81.71,22.89,17.5,3.63,0.79
ibaiti,21.73,37.34,58.06,51.2,20.2,11.47
ibipora,84.46,93.2,11.94,6.44,3.6,0.36
imbituva,18.06,53.83,57.7,36.46,24.24,9.7
itaperucu,46.82,17.61,39.07,68.19,14.11,14.2
ivaipora,5.1,21.28,76.74,68.75,18.16,9.97
jacarezinho,76.64,87.87,15.91,8.16,7.46,3.97
jaguariaiva,68.57,52,18.99,38.87,12.44,9.13
jandaia do sul,31.74,50.36,56.45,42.0,11.81,7.63
lapa,46.43,56.94,27.75,25.65,25.82,17.4
laranjeiras do sul,17.31,35.02,63.57,50.58,19.11,14.4
loanda,17.98,48.49,72.09,45.36,9.94,6.15
mandaguari,28.04,50.06,63.18,44.83,8.78,5.11
mandirituba,12.87,26.81,61.55,63.04,25.58,10.15
marechal candido rondon,22.34,31.41,62.93,66.53,14.73,2.06
marialva,47.93,44.51,38.28,41.0,13.79,14.48
